Id2,Population,MedHHInc,studio,bed1,bed2,bed3,bed4,bed5,med_age,Vacant,HH1,HH2,HH3,HH4,HH5,HH6,HH7,AvgHHSize,AvOwnHHsize,AvRenHHsize,TotalHH,OwnerHH,RenterHH,R100,R150,R199,R249,R299,R349,R399,R449,R499,R549,R599,R649,R699,R749,R799,R899,R999,R1249,R1499,R1999,R2499,R2999,R3499,R3500plus,White,AfAm,NatAm,Asian,Hawaiin,Other,Inter,Total_Bachelors,STEM,STEM_rel,Business,Education,Humanities,Total_HH,FamHH,NonFM,NoFamAloneHH,DetachUnit,AttachUnit,TwoUnits,Units_3_4,Units_5_9,Units_10_19,Units_20_49,Units_50plus,UnitMobile,Unit_Other,HouseYear
60855001001,932,59118.0,14,12,204,19,37,0,27.2,0,86,67,69,16,0,0,48,3.1,3.02,3.15,888,290,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,43,0,57,15,0,0,0,310,0,0,112,0,500,10,192,88,0,38,0,66,286,174,112,86,185,17,0,15,43,26,0,0,0,0,1948
60855001002,1936,110714.0,0,64,251,320,29,0,33.7,0,142,135,157,211,19,0,0,2.84,2.21,3.28,1883,607,1276,0,0,0,0,0,0,0,0,17,0,0,0,0,0,12,49,0,46,97,71,49,0,48,0,397,18,12,727,0,717,65,573,368,0,98,14,93,664,436,228,142,189,269,61,114,16,15,0,0,0,0,1968
60855001003,2620,62730.0,0,12,321,197,18,13,26.9,0,79,65,33,85,152,49,98,4.67,4.22,5.0,2620,999,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,137,161,14,0,0,0,731,0,0,403,0,1418,68,360,127,81,84,17,51,561,364,197,79,273,75,84,0,0,47,82,0,0,0,1986
60855001004,2336,85648.0,17,190,390,244,108,24,34.1,89,289,296,67,114,67,24,27,2.64,2.43,2.76,2336,760,1576,0,35,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,90,136,58,107,34,47,0,755,150,22,559,0,756,94,710,387,0,122,10,191,884,512,372,289,287,176,77,93,52,0,66,222,0,0,1999
60855002001,1568,103265.0,12,112,267,124,26,0,30.6,15,171,108,71,175,1,0,0,2.71,3.2,2.43,1424,611,813,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,22,26,73,96,42,9,0,0,796,43,50,212,63,154,250,523,309,12,30,12,160,526,256,270,171,298,16,79,40,59,0,12,37,0,0,1947
60855002003,1711,62067.0,86,239,257,41,0,26,36.9,34,229,95,142,94,29,0,26,2.78,4.34,2.36,1711,573,1138,0,0,0,0,0,0,0,0,0,0,0,0,26,47,0,61,0,113,116,96,0,14,0,0,812,83,0,250,0,376,190,295,138,37,38,11,71,615,291,324,229,119,63,0,65,266,88,38,10,0,0,1963
60855002004,2296,99821.0,51,400,362,184,36,15,29.2,44,496,241,107,55,36,69,0,2.29,1.68,2.5,2296,440,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,112,275,148,139,24,0,895,88,29,629,0,602,53,964,543,28,153,13,227,1004,159,845,496,137,76,31,15,137,13,166,473,0,0,1998
60855003001,553,30625.0,0,48,88,0,13,0,37.3,7,73,8,26,29,6,0,0,2.2,2.15,2.22,312,88,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,24,48,0,0,0,0,0,265,65,7,54,0,35,127,53,32,0,0,0,21,142,61,81,73,54,18,42,26,9,0,0,0,0,0,1956
60855003002,3237,114904.0,67,338,534,262,139,28,35.4,46,313,647,164,104,58,0,36,2.45,2.39,2.51,3237,1628,1609,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,50,52,111,108,172,102,0,1865,215,20,726,0,202,209,1606,594,159,332,61,460,1322,623,699,313,422,302,14,55,120,45,8,402,0,0,1997
60855004001,1450,54489.0,52,228,203,88,29,16,31.5,23,252,154,58,73,50,6,0,2.33,2.6,2.25,1379,315,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,27,133,135,107,28,13,0,0,799,54,6,88,5,366,132,323,119,10,47,17,130,593,296,297,252,203,56,50,50,73,99,64,21,0,0,1957
60855004002,967,86071.0,6,106,70,97,88,50,40.4,13,135,140,77,33,11,0,8,2.39,2.87,1.86,967,612,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,16,41,53,30,7,0,0,764,6,22,115,0,17,43,464,228,23,70,13,130,404,226,178,135,294,15,0,14,23,26,24,21,0,0,1953
60855005001,1141,142642.0,28,71,90,113,129,24,48.4,0,78,198,118,61,0,0,0,2.51,2.71,1.91,1141,923,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,28,31,14,22,0,0,0,884,17,0,151,0,0,89,484,280,9,57,23,115,455,340,115,78,382,14,0,0,24,35,0,0,0,0,1944
60855005002,2011,150795.0,0,102,240,286,79,12,41.3,45,104,168,164,179,48,11,0,2.98,3.01,2.9,2011,1529,482,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,41,0,37,0,33,12,0,19,11,1166,0,0,399,0,260,186,697,343,37,82,39,196,674,543,131,104,417,174,18,0,15,19,22,54,0,0,1946
60855005004,897,101602.0,16,39,113,182,26,50,45.6,18,86,227,52,37,6,0,0,2.2,2.31,2.05,897,541,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,14,0,25,64,0,18,0,656,35,0,151,0,33,22,502,241,12,116,7,126,408,251,157,86,301,0,0,63,17,0,29,16,0,0,1951
60855005005,889,142917.0,9,0,32,130,94,0,61.9,0,60,115,74,16,0,0,0,2.27,2.2,2.68,602,492,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,11,0,13,0,0,0,580,26,6,119,0,34,124,429,146,62,83,15,123,265,198,67,60,218,19,0,19,0,9,0,0,0,0,1956
60855006001,2999,71203.0,102,668,490,219,16,11,33.2,12,678,536,149,93,14,5,19,1.94,2.6,1.82,2898,610,2288,0,0,13,12,44,98,0,12,0,13,0,47,0,14,0,79,45,140,184,115,217,171,12,43,1485,130,28,668,0,348,340,1460,719,52,202,36,451,1494,496,998,678,248,30,49,34,52,130,221,742,0,0,1987
60855006002,1328,161597.0,0,40,62,194,160,15,40.6,0,115,159,125,34,0,0,38,2.82,3.15,1.98,1328,1067,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,0,51,0,27,0,0,855,182,0,35,0,71,185,494,189,15,76,0,214,471,329,142,115,366,0,14,65,26,0,0,0,0,0,1939
60855006003,838,112011.0,0,108,118,155,36,18,46.8,36,164,127,53,40,15,0,0,2.1,2.04,2.21,838,548,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,10,0,21,15,0,0,744,0,47,35,0,12,0,375,134,0,24,0,217,399,212,187,164,319,12,0,0,19,25,60,0,0,0,1939
60855008001,1408,108750.0,73,476,447,22,0,8,39.2,179,392,391,64,0,0,0,0,1.63,1.56,1.68,1384,478,906,0,13,0,31,46,0,22,27,0,8,0,0,0,0,0,0,12,7,15,19,61,134,110,35,733,50,0,479,0,105,41,977,561,40,126,69,181,847,370,477,392,7,9,25,46,0,14,100,825,0,0,2004
60855008002,2275,61146.0,148,236,389,146,22,36,34.0,60,317,296,159,13,100,13,19,2.48,2.8,2.31,2275,875,1400,0,0,0,0,0,23,0,39,0,0,32,0,7,25,0,13,0,97,128,128,37,67,0,0,1328,98,13,327,0,415,94,726,387,69,87,0,183,917,467,450,317,282,92,8,48,16,55,91,385,0,0,1984
60855009012,3244,85231.0,292,911,561,28,16,0,29.8,131,786,596,171,47,68,9,0,1.91,1.71,1.96,3206,580,2626,0,0,6,0,12,7,28,10,0,0,0,0,0,13,29,63,20,109,247,337,247,117,34,9,1057,274,0,1477,9,346,81,1520,850,105,288,28,249,1677,570,1107,786,9,29,11,212,72,80,186,1199,10,0,1995
60855009022,5208,30000.0,11,81,138,21,5,0,19.8,0,40,63,68,66,19,0,0,3.11,3.63,3.08,797,58,739,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,11,20,73,57,38,25,0,0,0,2286,447,19,1595,20,329,512,229,130,13,18,0,68,256,85,171,40,33,0,9,22,77,105,10,0,0,0,1970
60855010001,1296,44417.0,28,106,122,160,44,15,30.7,50,67,154,119,14,54,0,17,3.05,2.6,3.21,1296,286,1010,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,69,50,60,29,76,0,0,0,0,665,0,0,242,0,373,16,206,102,22,43,39,0,425,358,67,67,248,22,75,40,77,13,0,0,0,0,1939
60855010002,626,56591.0,35,163,98,45,17,0,34.4,0,189,130,7,32,0,0,0,1.71,2.41,1.33,611,301,310,0,0,0,13,0,0,0,0,0,0,0,0,0,17,0,0,40,0,34,87,29,13,0,0,423,53,0,80,20,50,0,270,159,0,61,0,50,358,98,260,189,24,32,32,76,60,37,43,54,0,0,1969
60855010003,781,19089.0,208,184,101,0,0,13,45.5,73,296,87,14,0,0,36,0,1.8,1.71,1.81,781,48,733,0,0,0,14,73,13,13,76,0,13,0,0,11,0,34,0,14,0,0,54,50,26,14,0,178,51,0,252,0,32,268,207,151,14,17,15,10,433,97,336,296,0,13,0,0,14,169,36,274,0,0,1981
60855010004,1080,34469.0,64,343,69,13,0,0,42.2,0,249,126,60,14,40,0,0,2.01,1.43,2.04,984,33,951,0,0,0,41,0,0,0,15,0,14,29,0,0,0,65,0,0,210,44,48,0,0,0,0,517,70,0,96,0,285,112,88,45,0,28,15,0,489,195,294,249,68,0,29,82,93,39,0,178,0,0,1958
60855010005,864,57333.0,0,67,174,0,15,36,24.6,0,49,114,46,47,24,12,0,2.96,4.83,2.66,864,193,671,0,0,0,0,0,0,0,0,0,0,0,27,0,0,20,34,24,40,19,30,34,0,24,0,253,0,0,292,0,289,30,233,128,39,43,0,23,292,93,199,49,122,11,14,56,81,8,0,0,0,0,1939
