ref_id_side,route,count
1004929729L,403X,2
1004929730L,403X,2
1004929731L,403X,5
1004929731R,403X,4
1004929732L,403X,4
1016208671R,102X,5
1016257355L,505X,3
1016257355R,505X,2
1049844567R,402X,3
105616796L,103X,4
105616796R,103X,1
105616797L,103X,6
105616797R,103X,10
105616798L,103X,1
105616798R,103X,7
105631315R,202X,9
105631957L,103X,2
105631957R,104X,3
105631959L,104X,1
105631959R,104X,2
105638304R,202X,4
105638305L,202X,4
105638305R,204X,1
105638306L,202X,7
105638306R,204X,6
1061945097L,303X,2
1061945097R,303X,1
1061959742R,205X,1
1061959818R,205X,1
1061959831R,505X,2
1061960390R,203X,6
1061960393R,205X,1
1061960402R,203X,1
1061966476R,505X,1
1061966932L,105X,1
1061970322L,105X,12
1061970322R,105X,9
1061973057L,202X,4
1061973065L,202X,2
1061973066L,202X,4
1061975252R,505X,1
1061975253R,505X,1
1061975256R,505X,1
1061975257R,505X,1
1061979822L,505X,2
1061987574R,402X,2
1061987575R,402X,1
1061987713L,305X,1
1061987743R,305X,12
1061987745L,305X,4
1061993963L,303X,4
1061993963R,303X,2
1061993964L,303X,2
1061995406R,304X,1
1061995427R,303X,1
1061995431L,304X,5
1061995432L,302X,1
1061995435L,304X,1
1061995436L,302X,1
1061995437L,302X,1
1061995440R,303X,8
1061997383L,303X,1
1062038811L,401X,1
1062041481R,102X,1
1062429670R,102X,4
1062429671R,102X,7
1067496217L,302X,5
1067496220L,302X,1
1067496227L,302X,2
1067496231R,302X,1
1067623174L,205X,1
1067623175L,205X,4
1067623175R,205X,5
1074377404R,102X,1
1074442521R,102X,1
1079983860L,304X,15
1079983860R,304X,13
1079983861L,304X,1
1085076726R,504X,1
1085084989L,202X,1
1085084990L,202X,5
1113005545R,102X,6
1113005549L,102X,5
1113005549R,102X,5
1113006907L,302X,2
1113006907R,302X,1
1113006909R,302X,2
1113006913R,302X,3
1113006925L,103X,2
1113006926L,103X,2
112009719R,305X,1
112009720L,305X,2
112009720R,305X,1
112009722L,305X,1
112009722R,404X,1
112009723R,305X,4
1128743201R,402X,6
1128743206L,402X,2
1134739208L,402X,3
1134739208R,402X,3
1134739209L,402X,2
1134739209R,402X,3
1134739212R,402X,2
1147298015L,203X,8
1147298015R,205X,6
1147298016L,203X,17
1147298016R,205X,11
1147298017L,205X,1
1147298017R,205X,1
1147304519L,303X,4
1147304520L,303X,2
1147304520R,303X,8
1147304525R,303X,1
1147304526R,303X,1
1147304529R,402X,1
1147304531L,402X,1
1147304531R,402X,1
1147304532L,402X,25
1147304533R,402X,7
1149165200L,503X,4
1149165201L,503X,8
1149165202L,503X,5
1149165203L,503X,1
1164370559L,303X,1
1164879750L,205X,1
1164879751L,205X,2
1164879752L,205X,1
1164879756L,205X,1
1164880068R,205X,8
1164880069R,205X,1
116921046L,104X,6
116921046R,104X,5
116921047L,104X,4
116921047R,104X,4
116921048L,104X,2
116921049L,104X,8
116921049R,104X,6
1172978896L,204X,8
1172978896R,204X,8
1172978897L,204X,2
1172978897R,204X,6
1177L,402X,21
1177R,402X,15
1178R,402X,17
1186L,405X,6
1187L,405X,6
1187R,405X,3
1188L,405X,8
1188R,405X,2
1189R,203X,1
120881844L,203X,2
120881844R,205X,1
120881845L,205X,3
120881845R,205X,3
120881848L,205X,15
120881848R,205X,6
120881849R,205X,2
120881850R,205X,2
120881857R,102X,1
120881858L,102X,3
120881858R,102X,3
120881859R,102X,2
120881860L,102X,3
120881860R,102X,3
120881861R,102X,1
120881862L,102X,4
120881862R,102X,3
120881863L,102X,11
120881864L,102X,1
120881864R,102X,2
120881865L,102X,10
120881866L,102X,2
120881866R,102X,2
120881867L,102X,3
120881868L,102X,2
120881869L,102X,2
120881869R,102X,3
120899075R,403X,1
120899076L,403X,1
120899076R,403X,1
120899077L,403X,14
120899077R,403X,19
120899078L,403X,11
120899078R,403X,13
120899079L,403X,7
120899079R,403X,7
