ref_id_side,route,count
1004929728R,4202,1
1004929729L,4202,2
1004929730L,4202,3
1004929731L,4202,4
1004929731R,4202,5
1004929732L,4202,3
1016208671R,1201,5
1016257355L,5201,3
1016257355R,5201,2
1049844567R,4201,2
105616796L,1203,4
105616796R,1203,1
105616797L,1203,6
105616797R,1203,8
105616798L,1203,1
105616798R,1203,7
105631315R,2203,8
105631957L,1203,2
105631957R,1203,4
105631959L,1203,1
105631959R,1203,2
105638304R,2203,4
105638305L,2203,4
105638305R,2203,1
105638306L,2203,7
105638306R,2203,6
1061945097R,3202,1
1061959831R,5201,2
1061960390R,2202,6
1061970322L,1202,9
1061970322R,1202,5
1061973057L,2203,3
1061973065L,2203,2
1061973066L,2203,4
1061975252R,5202,1
1061975256R,5202,1
1061975257R,5202,1
1061987574R,4201,2
1061987575R,4201,1
1061987743R,3201,10
1061987745L,3201,4
1061995431L,3202,5
1061995432L,3203,1
1061995435L,3202,1
1061995436L,3203,1
1061995437L,3203,1
1061995440R,3202,3
1062041481R,1201,1
1062429670R,1201,4
1062429671R,1201,7
1067496217L,3203,5
1067496217R,3203,2
1067623174L,2202,1
1067623175L,2202,4
1067623175R,2202,4
1079983860L,3202,15
1079983860R,3202,13
1079983861L,3202,1
1085084989L,2203,1
1085084990L,2203,5
1113005545R,1201,6
1113005549L,1201,5
1113005549R,1201,5
1113006907L,3203,1
1113006907R,3203,3
1113006909R,3203,1
1113006913R,3203,2
1113006925L,1201,2
1113006926L,1201,2
112009719R,3201,1
112009720L,3201,2
112009720R,3201,1
112009722L,3201,1
112009722R,4202,1
112009723R,3201,4
1128743201R,4201,2
1134739208L,4201,3
1134739208R,4201,3
1134739209L,4201,2
1134739209R,4201,5
1134739211R,4201,1
1134739212R,4201,1
1147298015L,2202,8
1147298015R,2202,6
1147298016L,2202,16
1147298016R,2202,12
1147298017L,2202,1
1147298017R,2202,1
1147304519L,3202,1
1147304520L,3202,3
1147304520R,3202,8
1147304521L,3202,1
1147304525R,3203,1
1147304526R,3203,1
1147304529R,4201,1
1147304531L,4201,1
1147304531R,4201,1
1147304532L,4201,25
1147304533R,4201,7
1149165200L,5202,4
1149165201L,5202,7
1149165202L,5202,5
1149165203L,5202,1
1164370559L,3202,1
1164879750L,2202,1
1164879751L,2202,2
1164879752L,2202,1
1164879756L,2202,1
1164880068R,2202,8
1164880069R,2202,1
116921046L,1203,5
116921046R,1203,4
116921047L,1203,2
116921047R,1203,4
116921048L,1203,3
116921049L,1203,6
116921049R,1203,6
1172978896L,2201,8
1172978896R,2201,9
1172978897L,2201,2
1172978897R,2201,6
1177L,4201,4
1178R,4201,1
1186L,4203,6
1187L,4203,5
1187R,4203,3
1188L,4203,8
1188R,4203,2
120881844L,2202,3
120881844R,2202,1
120881845L,2202,3
120881845R,2202,3
120881847L,2202,1
120881848L,2202,15
120881848R,2202,6
120881849R,2202,2
120881850R,2202,3
120881857R,1201,1
120881858L,1201,3
120881858R,1201,3
120881859R,1201,3
120881860L,1201,3
120881860R,1201,3
