ref_id_side,route,count
1004929729L,4F3A,2
1004929730L,4F3A,2
1004929731L,4F3A,5
1004929731R,4F3A,5
1004929732L,4F3A,3
1016208671R,1F2B,5
1016257355L,5F3A,3
1016257355R,5F3A,2
1049844567R,4F3A,2
105616796L,1F3B,4
105616796R,1F3B,1
105616797L,1F3B,6
105616797R,1F3B,10
105616798L,1F3B,1
105616798R,1F3B,7
105631315R,2F1B,9
105631957L,1F3B,3
105631957R,1F3B,3
105631959L,1F3B,1
105631959R,1F3B,2
105638304R,2F1B,4
105638305L,2F1B,4
105638305R,2F3B,1
105638306L,2F1B,7
105638306R,2F3B,6
1061945097R,3F3B,1
1061959831R,5F3A,2
1061960390R,2F1A,6
1061968689L,5F3A,1
1061973057L,2F3B,4
1061973065L,2F3B,2
1061973066L,2F3B,4
1061975252R,5F1A,1
1061975256R,5F1A,1
1061975257R,5F1A,1
1061987574R,4F3A,2
1061987575R,4F3A,1
1061987743R,3F3A,12
1061987745L,3F3A,4
1061995427R,3F3B,1
1061995431L,3F1B,5
1061995432L,3F3B,1
1061995435L,3F1B,1
1061995436L,3F3B,2
1061995437L,3F3B,1
1061995440R,3F3B,8
1062041481R,1F2B,1
1062429670R,1F2B,4
1062429671R,1F2B,7
1067496217L,3F3B,5
1067623174L,2F2A,1
1067623175L,2F2A,4
1067623175R,2F2A,5
1079983860L,3F1B,15
1079983860R,3F1B,13
1079983861L,3F1B,1
1085084989L,2F1B,1
1085084990L,2F1B,5
1113005545R,1F3B,6
1113005549L,1F3B,5
1113005549R,1F3B,5
1113006907L,3F3B,1
1113006907R,3F1A,1
1113006909R,3F1A,1
1113006913R,3F1A,3
1113006925L,1F3B,2
1113006926L,1F3B,2
112009719R,3F3A,1
112009720L,3F3A,2
112009720R,3F3A,1
112009722L,3F3A,1
112009722R,4F3B,1
112009723R,3F3A,4
1128743201R,4F1A,6
1128743206L,4F1A,2
1134739208L,4F1A,3
1134739208R,4F1A,3
1134739209L,4F1A,2
1134739209R,4F1A,4
1134739211R,4F1A,1
1134739212R,4F1A,2
1147298015L,2F1A,8
1147298015R,2F2A,5
1147298016L,2F1A,16
1147298016R,2F2A,10
1147298017L,2F2A,1
1147298017R,2F2A,1
1147304519L,3F3B,4
1147304520L,3F3B,2
1147304520R,3F3B,8
1147304525R,3F3B,1
1147304529R,4F1A,1
1147304531L,4F1A,1
1147304531R,4F1A,1
1147304532L,4F1A,24
1147304533R,4F1A,7
1149165200L,5F2A,4
1149165201L,5F2A,8
1149165202L,5F2A,5
1149165203L,5F2A,1
1164370559L,3F3B,1
1164879750L,2F2A,1
1164879751L,2F2A,2
1164879752L,2F2A,1
1164879756L,2F2A,1
1164880068R,2F2A,8
1164880069R,2F2A,1
116921046L,1F3B,5
116921046R,1F3B,5
116921047L,1F3B,3
116921047R,1F3B,4
116921048L,1F3B,2
116921049L,1F3B,8
116921049R,1F3B,6
1172978896L,2F3B,8
1172978896R,2F3B,8
1172978897L,2F3B,2
1172978897R,2F3B,6
1177L,4F1A,21
1177R,4F1A,15
1178R,4F1A,17
1186L,4F2B,6
1187L,4F2B,6
1187R,4F2B,3
1188L,4F2B,8
1188R,4F2B,2
120881844L,2F1A,2
120881844R,2F2A,1
120881845L,2F2A,3
120881845R,2F2A,3
120881848L,2F2A,15
120881848R,2F2A,6
120881849R,2F2A,2
120881850R,2F2A,1
120881857R,1F2B,1
120881858L,1F2B,3
120881858R,1F2B,3
120881859R,1F2B,2
120881860L,1F2B,3
120881860R,1F2B,3
120881861R,1F2B,1
120881862L,1F2B,4
120881862R,1F2B,3
120881863L,1F2B,10
120881864L,1F2B,1
120881864R,1F2B,2
120881865L,1F2B,10
120881866L,1F2B,2
120881866R,1F2B,2
120881867L,1F2B,3
120881868L,1F2B,2
120881869L,1F2B,2
120881869R,1F2B,3
120899075R,4F3B,1
120899076L,4F3B,1
120899076R,4F3B,1
120899077L,4F3B,14
120899077R,4F3B,17
120899078L,4F3B,11
120899078R,4F3B,13
120899079L,4F3B,7
120899079R,4F3B,7
120899080L,4F3B,4
120899080R,4F3B,1
120899081L,4F3B,7
120899081R,4F3B,4
120899082L,4F3B,4
120899082R,4F3B,6
120899083L,4F3B,2
120899083R,4F3B,4
120899084L,4F3B,1
120899084R,4F3B,3
120899085L,4F3B,1
120899085R,4F3B,4
120899087L,4F3B,4
120899087R,4F3B,3
120899343L,5F3A,2
120899343R,5F3A,1
120899344L,5F3A,1
120899345L,5F3A,6
120899345R,5F3A,2
120899346L,5F3A,5
120899346R,5F3A,2
120899347L,5F3A,5
120899347R,5F3A,2
120899348L,5F3A,5
120899348R,5F3A,8
120899349L,5F3A,5
120899349R,5F3A,3
120899350L,5F3A,11
120899350R,5F3A,11
120899352R,5F3A,1
120899353L,5F3A,3
120899354L,5F3A,10
120899354R,5F3A,11
120899355L,5F3A,6
120899355R,5F3A,4
120899356L,5F3A,3
120899356R,5F3A,1
120899357L,5F3A,8
120899357R,5F3A,9
120899358L,5F3A,3
120899358R,5F3A,3
120899359L,5F3A,7
120899359R,5F3A,9
120899360R,5F3A,1
120899361L,5F3A,2
120899361R,5F3A,2
120899362R,5F3A,2
120899363L,5F3A,2
120899363R,5F3A,2
120899364R,5F3A,2
120899365L,5F3A,2
120899365R,5F3A,2
120899366R,5F3A,3
120899367R,5F3A,2
120899368L,5F3A,2
120899368R,5F3A,2
120899369L,5F3A,3
120899369R,5F3A,1
120899370L,5F3A,2
120899370R,5F3A,2
120899371L,5F3A,3
120899372L,5F3A,2
120899372R,5F3A,2
120899373L,5F3A,2
120899374L,5F3A,2
120899374R,5F3A,2
120899375L,5F3A,1
120899376L,5F3A,2
120899377L,5F3A,2
120899377R,5F3A,2
120903578L,2F3B,1
120903578R,2F3B,2
120903579L,2F3B,8
120903579R,2F3B,6
120909948L,3F3B,1
127807787L,4F3A,3
127807787R,4F3A,4
127807954L,1F1B,4
127807954R,1F3B,3
127807955R,1F3B,1
127818528L,3F1A,3
127818528R,3F1A,3
127818538L,2F2A,2
127818538R,2F2A,3
127818912R,1F2B,4
127819259L,5F1A,7
127820754L,1F2B,1
127820754R,1F2B,2
127828153L,5F3B,1
127828153R,5F3A,4
127829058L,4F3A,3
127829058R,4F3A,4
127829059L,4F3A,5
127829059R,4F3A,6
127829060L,4F3A,1
127829218L,4F1B,6
127829247R,2F1A,1
127829262L,1F1B,6
127829262R,1F1B,5
127846119L,3F3B,2
127846120L,3F3B,7
127846121L,3F3B,4
127846121R,3F3B,4
1322R,4F1A,1
1323L,4F1A,7
1323R,4F1A,5
1355R,4F2B,3
1356L,4F2B,2
1357R,4F2B,3
1885L,3F1A,6
1885R,3F1A,7
1887L,3F1A,5
2040L,3F3B,5
2040R,3F3B,2
2042R,3F3A,8
2252R,4F3A,16
2258L,4F2A,5
2264R,4F2A,4
2265L,4F2A,3
23693931L,3F1A,3
23694003L,2F1B,6
23694003R,2F1B,6
23694020L,3F3B,13
23694020R,3F3B,9
23694092L,1F1A,2
23694145L,3F1B,8
23694145R,3F1B,7
23694200R,5F2A,5
23694210L,2F3A,10
23694210R,2F3A,10
23694211L,2F3A,14
23694211R,2F3A,11
23694495L,3F1B,1
23694495R,3F1B,1
23694497L,3F1B,2
23694497R,3F1B,2
23694498L,3F1B,11
23694498R,3F1B,12
23694499L,3F1B,2
23694499R,3F1B,5
23694580L,5F1B,3
23694580R,5F1B,2
23694613L,5F1B,3
23694613R,5F1B,3
23694614L,5F1B,3
23694678L,4F3A,7
23694678R,4F3A,5
23694684L,1F1A,6
23694684R,1F1A,6
23694694L,4F2B,2
23694694R,4F2B,1
23694696L,4F2B,1
23694696R,4F2B,1
23694697L,4F2B,5
23694697R,4F2B,6
23694698L,4F2B,7
23694698R,4F2B,5
23694709L,2F1B,13
23694709R,2F1B,15
23694780L,5F3B,3
23694780R,5F3B,3
23694973L,1F1A,2
23694973R,1F1A,3
23695123L,5F1B,7
23695123R,5F1B,10
23695258L,2F3B,5
23695258R,2F3B,6
23695259L,2F3B,1
23695259R,2F3B,3
23695260L,2F2A,2
23695260R,2F2A,1
23695261L,2F2A,2
23695261R,2F2A,1
23695432R,4F1B,5
23695510L,3F3A,6
23695510R,3F1A,8
23695552L,2F3A,3
23695553L,2F3A,1
23695553R,2F3A,1
23695554L,2F3A,10
23695554R,2F3A,10
23695555L,2F3A,10
23695555R,2F3A,10
23695557L,2F3A,4
23695557R,2F3A,5
23695558L,2F3A,6
23695558R,2F3A,8
23695708L,3F1B,18
23695708R,3F1B,12
23695879L,3F1B,18
23695879R,3F1B,15
23696017L,1F1A,9
23696017R,1F1A,6
23696018L,1F1A,5
23696018R,1F1A,4
23696310L,2F3A,6
23696310R,2F3A,3
23696312L,2F2A,19
23696312R,2F2A,18
23696370L,5F2A,16
23696370R,5F2A,18
23696605L,1F1A,3
23696605R,1F1A,2
23696652L,5F3B,3
23696652R,5F3B,4
23696653L,2F3B,18
23696653R,2F3B,12
23696732L,5F1B,5
23696732R,5F1B,7
23696733L,5F1B,3
23696733R,5F1B,2
23696734L,5F1B,1
23696735L,5F1B,8
23696863L,3F1A,3
23696863R,3F1A,4
23696864L,3F1A,3
23696864R,3F1A,5
23696865L,3F1A,2
23696865R,3F1A,4
23696866L,3F1A,3
23696866R,3F1A,5
23696867L,3F1A,3
23696867R,3F1A,6
23696868L,3F1A,3
23696868R,3F1A,4
23696869L,3F1A,4
